Vios Jurídico - Baixa de Títulos Pagar / Receber;;;;;;;;;;;;;;;;;;;;;;;;;
CI Título;CI Parcela;Etiquetas;Data Vencimento;Data Vencimento Orig.;Dias em Atraso;Competência;Tipo;Forma;Nro Título;Reincidência;NF;Cliente;Descrição;Valor;Valor Atualizado;Valor Título;Desconto Previsto;Desconto Realizado;Valor Pago;Data Baixa;Data de Crédito/Débito;Tem Valor Retido?;Contrato;Plano de Contas;Moeda
8648;8651;;06/10/2025;06/10/2025;0;01/10/2025;RECEBER;Pix;1982-1;1/1;;Inova Ts Engenharia Ltda.;"Cobrança referente Hora Trabalhada - -


EXTRATO - REGRA DE CONTRATO - HORA DO COLABORADOR




Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Sócio (CI 9)' no período de 01/09/2025 à 30/09/2025.



• Flávia Martins Fuzaro Polycarpo • Horário Original: 00:15:00 • Consulta • CI 2850

• Flávia Martins Fuzaro Polycarpo • Horário Original: 00:10:00 • Providências internas • CI 2863

• Flávia Martins Fuzaro Polycarpo • Horário Original: 01:00:00 • Reunião • CI 2871

• Almir Polycarpo • Horário Original: 01:01:00 • Elaboração de documento • CI 2881

• Flávia Martins Fuzaro Polycarpo • Horário Original: 00:40:00 • Reunião • CI 2882

• Flávia Martins Fuzaro Polycarpo • Horário Original: 00:23:00 • Análise de e-mail • CI 2920

• Flávia Martins Fu";9881,83;---;9881,83;0;0;9881,83;31/10/2025;00/00/0000;Não;8 Inova - Time Sheet - INOVA TIME SHEET;Hora trabalhada;
4790;4790;;06/10/2025;06/10/2025;0;06/10/2025;PAGAR;Pix;1103-1;1/1;;Marcia Xavier de Melo e Silva;RemuneraçãoBradescoAg.1451Cta Poupança  1017625-5pix (11) 95820-8165;-3300;3300;-3300;0;0;-3300;03/10/2025;00/00/0000;Não;;Prestadores de Serviço;Real
8630;8633;;06/10/2025;06/10/2025;0;01/10/2025;RECEBER;Pix;1964-1;1/1;;Maria Paloma Medeiros Siqueiros;"Cobrança referente Hora Trabalhada -  - EXTRATO - REGRA DE CONTRATO - HORA DO COLABORADOR

Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Advogado Pleno (CI 17)' no período de 01/09/2025 à 30/09/2025.



 • Paloma Luczka dos Santos • Horário Original: 00:29:00 • APONTAMENTO DE HORAS • Eliezer Antônio Dias Benevides X Maria Aparecida Medeiros Sequeiros e outros • Proc. 0100290-78.2025.5.01.0071 • CI 2918

 • Paloma Luczka dos Santos • Horário Original: 00:19:00 • Prazo Processual • Eliezer Antônio Dias Benevides X Maria Aparecida Medeiros Sequeiros e outros • Proc. 0100290-78.2025.5.01.0071 • CI 3006

Lançamento proveniente de regra de contrato (CI 144).
Cobrança referente Hora Trabalhada -  - EXTRATO - REGRA DE CONTRATO - HORA DO COLABORADOR

Segue a relação dos itens selecionados para g";6063,33;---;6063,33;0;0;6063,33;08/11/2025;00/00/0000;Não;Paloma Sequeiros - Time Sheet - PALOMA SEQUEIROS;Hora trabalhada;
8628;8631;;06/10/2025;06/10/2025;0;01/10/2025;RECEBER;Pix;1962-1;1/1;;Maristella Fuganti Cabello Campos;"Cobrança referente Hora Trabalhada -  - EXTRATO - REGRA DE CONTRATO - HORA DO COLABORADOR

Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Sócio (CI 9)' no período de 01/09/2025 à 30/09/2025.



 • Almir Polycarpo • Horário Original: 00:14:00 • Revisão de documento • CI 2959

Lançamento proveniente de regra de contrato (CI 188).";140;---;140;0;0;140;02/10/2025;00/00/0000;Não;Maristela - Negociações do imóvel - Honorários para;Hora trabalhada;
4966;4966;;06/10/2025;06/10/2025;0;06/10/2025;PAGAR;Pix;-;1/1;;Paloma Luczka dos Santos;Pró Labore  Paloma;-1351,02;1351,02;-1351,02;0;0;-1351,02;03/10/2025;00/00/0000;Não;;Pró-labore;Real
8631;8634;;06/10/2025;06/10/2025;0;01/10/2025;RECEBER;Pix;1965-1;1/1;;PROHABITAT SOLUCOES AMBIENTAIS LTDA.;"Cobrança referente Hora Trabalhada -  - EXTRATO - REGRA DE CONTRATO - HORA DO COLABORADOR

Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Advogado Sênior (CI 10)' no período de 01/09/2025 à 30/09/2025.



 • Andrei Gomes da Silva Pinto • Horário Original: 00:30:00 • APONTAMENTO DE HORAS • CI 2899

 • Andrei Gomes da Silva Pinto • Horário Original: 00:25:00 • APONTAMENTO DE HORAS • CI 2900

 • Andrei Gomes da Silva Pinto • Horário Original: 00:20:00 • APONTAMENTO DE HORAS • CI 2952

 • Andrei Gomes da Silva Pinto • Horário Original: 00:36:00 • APONTAMENTO DE HORAS • CI 3007

 • Andrei Gomes da Silva Pinto • Horário Original: 00:30:00 • APONTAMENTO DE HORAS • CI 3053

 • Andrei Gomes da Silva Pinto • Horário Original: 00:40:00 • APONTAMENTO DE HORAS • CI 3054

 •";7485;---;7485;0;0;7485;21/10/2025;00/00/0000;Não;Prohabitat - M&A - Negociação de M&A;Hora trabalhada;
8534;8539;;06/10/2025;06/10/2025;0;01/09/2025;RECEBER;Pix;1858-1;1/1;;Scientia Consultoria Cientifica Ltda;"Cobrança referente Ato processual -  - 

EXTRATO - REGRA DE CONTRATO - POR ATO PROCESSUAL






Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Sentença (CI 19)' no período de 01/08/2025 à 19/08/2025.



• Sentença • Cr Comercio e Servicos Ltda X Scientia Consultoria Cientifica Ltda • Proc. 0008416-24.2013.8.14.0005 • CI 3346

Lançamento proveniente de regra de contrato (CI 148).";4267,84;---;4267,84;0;0;4267,84;04/11/2025;00/00/0000;Não;Sciencia - CR Com. e Serv. Ltda - SCIENTIA - CR COM E SERV LTDA;Ato;
8859;8862;;06/10/2025;06/10/2025;0;01/09/2025;RECEBER;Pix;2204-1;1/1;;Scientia Consultoria Cientifica Ltda;"Cobrança referente Ato processual - -


EXTRATO - REGRA DE CONTRATO - POR ATO PROCESSUAL




Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Sentença (CI 19)' no período de 01/08/2025 à 19/08/2025.



• Sentença • Cr Comercio e Servicos Ltda X Scientia Consultoria Cientifica Ltda • Proc. 0008416-24.2013.8.14.0005 • CI 3346

Lançamento proveniente de regra de contrato (CI 148).



 



OBS. EM 11/11 SCIENTIA efetuou depósito de R$ 542,54, referente a diferença da 1ª parcela do 1º acordo(5x4.514,55) mas efetuou o valor bruto e deveríamos devolver a diferença de R$ 295,84 em 25/11/25. Mas houve um erro é foi enviado o valor de R$ 440,00 - então a Scientia deveria ter descontado o valor de R$ 295,84 e enviado a devolução para a Polycarpo de R$ 145,16 mas ela fez o contrario  e no dia 26/11 enviou pix de R$ 294,84 , refiz os cálculos para devolução do val";542,54;---;542,54;0;0;542,54;11/11/2025;00/00/0000;Não;Sciencia - CR Com. e Serv. Ltda - SCIENTIA - CR COM E SERV LTDA;Ato;
8860;8863;;06/10/2025;06/10/2025;0;01/09/2025;RECEBER;Pix;2205-1;1/1;;Scientia Consultoria Cientifica Ltda;"Cobrança referente Ato processual - -


EXTRATO - REGRA DE CONTRATO - POR ATO PROCESSUAL




Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Sentença (CI 19)' no período de 01/08/2025 à 19/08/2025.



• Sentença • Cr Comercio e Servicos Ltda X Scientia Consultoria Cientifica Ltda • Proc. 0008416-24.2013.8.14.0005 • CI 3346

Lançamento proveniente de regra de contrato (CI 148).";4514,55;---;4514,55;0;0;4514,55;09/12/2025;00/00/0000;Não;Sciencia - CR Com. e Serv. Ltda - SCIENTIA - CR COM E SERV LTDA;Ato;
8997;9000;;06/10/2025;06/10/2025;0;01/09/2025;RECEBER;Pix;2344-1;1/1;;Scientia Consultoria Cientifica Ltda;"Cobrança referente Ato processual - -


EXTRATO - REGRA DE CONTRATO - POR ATO PROCESSUAL




Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Sentença (CI 19)' no período de 01/08/2025 à 19/08/2025.



• Sentença • Cr Comercio e Servicos Ltda X Scientia Consultoria Cientifica Ltda • Proc. 0008416-24.2013.8.14.0005 • CI 3346

Lançamento proveniente de regra de contrato (CI 148).";4514,55;---;4514,55;0;0;4514,55;05/01/2026;00/00/0000;Não;Sciencia - CR Com. e Serv. Ltda - SCIENTIA - CR COM E SERV LTDA;Ato;
4765;4765;;06/10/2025;06/10/2025;0;06/10/2025;PAGAR;Pix;-;1/1;;Victor Tavolaro Barbieri;Pro labore Victor;-1351,02;---;-1351,02;0;0;-1351,02;03/10/2025;00/00/0000;Não;;Pró-labore;Real
8606;8611;;06/10/2025;06/10/2025;0;26/09/2025;PAGAR;Pix;1938-1;1/1;;Victor Tavolaro Barbieri;Participação nos honorário do MS da YOFC;-1556;---;-1556;0;0;-1556;08/10/2025;00/00/0000;Não;;Participação em serviços;
7658;7667;Liberado no Banco;06/10/2025;07/10/2025;0;07/10/2025;PAGAR;Boleto;906-1;7/13;;VIOS DES.COM.PROG.COMPUTADOR LTDA;"VIOS



PLATAFORMA JURIDICA - MENSAL



MENSALIDADE";-945;---;-945;0;0;-945;06/10/2025;00/00/0000;Não;;Informática - Softwares;
8639;8642;;06/10/2025;06/10/2025;0;01/10/2025;RECEBER;Pix;1973-1;1/1;;Yofc Brasil Cabos e Solucoes Ltda;"Cobrança referente Taxa de acompanhamento processual -  - EXTRATO - REGRA DE CONTRATO - TAXA DE ACOMPANHAMENTO PROCESSUAL (TAP)

Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Pasta Ativa Mensal (CI 11)' no período de 01/09/2025 à 30/09/2025.



 • Yofc Brasil Cabos e Solucoes Ltda X D Bento do Vale • Proc. 0200666-31.2024.8.06.0164 • CI 630

 • Yofc Brasil Cabos e Solucoes Ltda X Daniel de Souza Coutinho Tecnology Ltda. • Proc. 0200664-61.2024.8.06.0164 • CI 628

 • Yofc Brasil Cabos e Solucoes Ltda X Interlink Construtora de Transmissões de Redes Ltda • Proc. 0700964-49.2024.8.02.0043 • CI 627

Lançamento proveniente de regra de contrato (CI 11).";603,57;---;633;0;0;603,57;09/10/2025;00/00/0000;Sim;358 - YOFC - Cobrança Geral;Lote;
8640;8643;;06/10/2025;06/10/2025;0;01/10/2025;RECEBER;Pix;1974-1;1/1;;Yofc Brasil Cabos e Solucoes Ltda;"Cobrança referente Hora Trabalhada -  - EXTRATO - REGRA DE CONTRATO - HORA DO COLABORADOR

Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Sócio (CI 9)' no período de 01/09/2025 à 30/09/2025.



 • Almir Polycarpo • Horário Original: 00:11:00 • Elaboração de documento • CI 2865

 • Almir Polycarpo • Horário Original: 00:28:00 • Análise de contrato • CI 2866

 • Almir Polycarpo • Horário Original: 00:54:00 • Análise de contrato • CI 2876

 • Almir Polycarpo • Horário Original: 00:30:00 • APONTAMENTO DE HORAS • CI 3114

 • Almir Polycarpo • Horário Original: 00:22:00 • Revisão de documento • CI 3150

 • Almir Polycarpo • Horário Original: 01:00:00 • APONTAMENTO DE HORAS • CI 3151

 • Almir Polycarpo • Horário Original: 00:23:00 • Elaboração de documento &";5712,25;---;6086,58;0;0;5712,25;09/10/2025;00/00/0000;Sim;360 - YOFC - Compliance;Hora trabalhada;
8641;8644;;06/10/2025;06/10/2025;0;01/10/2025;RECEBER;Pix;1975-1;1/1;;Yofc Brasil Cabos e Solucoes Ltda;"Cobrança referente Hora Trabalhada -  - EXTRATO - REGRA DE CONTRATO - HORA DO COLABORADOR

Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Advogado Sênior (CI 10)' no período de 01/09/2025 à 30/09/2025.



 • Andrei Gomes da Silva Pinto • Horário Original: 01:00:00 • APONTAMENTO DE HORAS • CI 2953

Lançamento proveniente de regra de contrato (CI 3).";636,3;---;678;0;0;636,3;09/10/2025;00/00/0000;Sim;360 - YOFC - Compliance;Hora trabalhada;
8642;8645;;06/10/2025;06/10/2025;0;01/10/2025;RECEBER;Pix;1976-1;1/1;;Yofc Brasil Cabos e Solucoes Ltda;"Cobrança referente Hora Trabalhada -  - EXTRATO - REGRA DE CONTRATO - HORA DO COLABORADOR

Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Advogado Sênior (CI 10)' no período de 01/09/2025 à 30/09/2025.



 • Victor Tavolaro Barbieri • Horário Original: 00:45:00 • Prazo Processual • Yofc Brasil Cabos e Solucoes Ltda X DELEGADO DA RECEITA FEDERAL • Proc. 5005117-09.2025.4.03.6104 • CI 2939

Lançamento proveniente de regra de contrato (CI 225).";459,83;---;482,25;0;0;459,83;20/10/2025;00/00/0000;Sim;YOFC - Mandado de Segurança Compensação de Ofício nº 08114-00000737/2025 - Propositura de Mandado de Segurança para reconhecimento da prescrição do crédito exigido, com pedido de liminar para conceder o efeito suspensivo da dívida permitindo a obtenção de certidões negativas.;Hora trabalhada;
8649;8652;;06/10/2025;06/10/2025;0;01/10/2025;RECEBER;Pix;1983-1;1/1;;Zait Engenharia Ltda.;"Cobrança referente Hora Trabalhada - -


EXTRATO - REGRA DE CONTRATO - HORA DO COLABORADOR




Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Sócio (CI 9)' no período de 01/09/2025 à 30/09/2025.



• Almir Polycarpo • Horário Original: 00:43:00 • Reunião • CI 2872

• Almir Polycarpo • Horário Original: 03:46:00 • Elaboração de documento • CI 2926

• Almir Polycarpo • Horário Original: 02:00:00 • APONTAMENTO DE HORAS • CI 3153

• Almir Polycarpo • Horário Original: 02:19:00 • Análise de contrato • CI 3156

Lançamento proveniente de regra de contrato (CI 182).



 



Valor original R$ 9420,00, com a regra dos valores em conjunto com a INOVATS(soma de ZAIT e INOVA) superior a 13.500 usar tabela com a regra para cobrança- a nota 0151 foi de R$ 9126,17.



 

Cobr";9420;---;9420;0;293,73;9126,27;19/12/2025;00/00/0000;Não;ZAIT - Time Sheet;Hora trabalhada;
8733;8736;;08/10/2025;08/10/2025;0;08/10/2025;RECEBER;On line;2071-1;1/1;;BANCO BRADESCO S/A;Rendimento aplicação financeira automática - INVEST FÁCIL;0,04;---;0,04;0;0;0,04;08/10/2025;00/00/0000;Não;;Baixa de aplicação;
5115;5115;Liberado no Banco;08/10/2025;08/10/2025;0;08/10/2025;PAGAR;Boleto;1986-1;1/1;;BRADESCO SAUDE S/A;Convênio MédicoPlano de  Saúde;-8580,48;8580,48;-8580,48;0;0;-8580,48;08/10/2025;00/00/0000;Não;;Aluguel;Real
8670;8673;;08/10/2025;08/10/2025;0;08/10/2025;PAGAR;Boleto;2007-1;1/1;;CARTORIO;"Pagamento de despesa reembolsável de Custas Judiciais do cliente EDVALDO AILDER CATALANI MORATA - Origem: Atendimento (CI: 751) - 

Custos para emissão de nova certidão de casamento do Sr. Evaristo.";-260,5;---;-260,5;0;0;-260,5;08/10/2025;00/00/0000;Não;Edvaldo Morata - Time Sheet;Custas e depesas;
8831;8834;;09/10/2025;09/10/2025;0;09/10/2025;RECEBER;On line;2174-1;1/1;;BANCO DO BRASIL S/A;Resgate automático aplicação financeira -Rende Fácil;777,42;---;777,42;0;0;777,42;09/10/2025;00/00/0000;Não;;Baixa de aplicação;
8674;8677;;09/10/2025;09/10/2025;0;09/10/2025;PAGAR;Boleto;2011-1;1/1;;Tribunal de Justiça de São Paulo;"Pagamento de despesa reembolsável de Custas Judiciais do cliente 4fx - Assessoria Empresarial Ltda - Origem: Processo (0036236-39.2023.8.26.0100 | CI: 1075) - 

Custas de teimosinha - Dois sócios - 4fx - Assessoria Empresarial Ltda X Uniqq Negócios e Consultoria Financeira Ltda - Processo 0036236-39.2023.8.26.0100";-222,12;---;-222,12;0;0;-222,12;09/10/2025;00/00/0000;Não;4 fx - Uniqq - 4FX - UNIQQ;Custas e depesas;
8682;8685;;10/10/2025;10/10/2025;0;30/09/2025;PAGAR;Pix;2019-1;1/1;;ALMIR POLYCARPO;Retirada Antecipada;-5000;---;-5000;0;0;-5000;10/10/2025;00/00/0000;Não;;Retirada dos sócios;
7868;7877;;10/10/2025;10/10/2025;0;10/10/2025;PAGAR;Pix;1140-1;6/9;;ANDREI GOMES DA SILVA PINTO;Retirada antecipada;-5424;---;-5424;0;0;-5424;10/10/2025;00/00/0000;Não;;Retirada dos sócios;
8734;8737;;10/10/2025;10/10/2025;0;10/10/2025;RECEBER;On line;2072-1;1/1;;BANCO BRADESCO S/A;Rendimento aplicação financeira automática - INVEST FÁCIL;0,15;---;0,15;0;0;0,15;10/10/2025;00/00/0000;Não;;Baixa de aplicação;
8623;8626;;10/10/2025;10/10/2025;0;01/10/2025;RECEBER;Pix;1957-1;1/1;;Distribuidora de Bebidas Tm Ltda;"Cobrança referente Hora Trabalhada -  - EXTRATO - REGRA DE CONTRATO - POR HORA TRABALHADA

Segue a relação dos itens selecionados para gerar o lançamento proveniente da regra 'Por hora trabalhada - 2. Arredondamento de 5 em 5 min (CI 2)' no período de 01/09/2025 à 30/09/2025.



 • Victor Tavolaro Barbieri • Horário Original: 00:30:00 • APONTAMENTO DE HORAS • CI 2874

 • Victor Tavolaro Barbieri • Horário Original: 02:00:00 • APONTAMENTO DE HORAS • CI 2875

 • Andrei Gomes da Silva Pinto • Horário Original: 00:30:00 • APONTAMENTO DE HORAS • CI 2906

 • Andrei Gomes da Silva Pinto • Horário Original: 01:20:00 • APONTAMENTO DE HORAS • CI 3009

 • Andrei Gomes da Silva Pinto • Horário Original: 00:30:00 • APONTAMENTO DE HORAS • CI 3055

 • Andrei Gomes da Silva Pinto • Horário Original: 01:30:00 • APONTAMENTO DE HORAS &";1343,04;---;1580,56;0;0;1343,04;28/11/2025;00/00/0000;Sim;"365 Dádiva - Time Sheet - DÁDIVA - TIME SHEET; Dádiva - Distribuidora - Tributário - Dádiva Contencioso Tributário Distribuidora";Hora trabalhada, Lote;
